SaleID,Date,Customer Details,Total Amount
1,25/09/2023 00:00:00,"Edward, Los Angeles",7199.91
2,24/10/2023 00:00:00,"Charlie, Phoenix",199.9
3,03/10/2023 00:00:00,"Charlie, Los Angeles",6539.9
4,09/10/2023 00:00:00,"Bob, New York",9379.86
5,18/10/2023 00:00:00,"Alice, Phoenix",159.92
6,10/10/2023 00:00:00,"Edward, Phoenix",7199.94
7,18/10/2023 00:00:00,"Alice, Chicago",779.89
8,27/09/2023 00:00:00,"Bob, Chicago",799.98
9,18/10/2023 00:00:00,"Alice, Los Angeles",6539.92
10,29/09/2023 00:00:00,"Diana, New York",4799.94
11,21/10/2023 00:05:14,"Customer_11, City_11",1859.87
12,08/10/2023 00:05:14,"Customer_12, City_12",11929.83
13,29/09/2023 00:05:14,"Customer_13, City_13",7749.9
14,13/10/2023 00:05:14,"Customer_14, City_14",9099.79
15,17/10/2023 00:05:14,"Customer_15, City_15",2399.97
16,20/10/2023 00:05:14,"Customer_16, City_16",1799.9
17,29/09/2023 00:05:14,"Customer_17, City_17",13149.65
18,07/10/2023 00:05:14,"Customer_18, City_18",1469.92
19,21/10/2023 00:05:14,"Customer_19, City_19",1979.93
20,02/10/2023 00:05:14,"Customer_20, City_20",15099.73
21,09/10/2023 00:05:14,"Customer_21, City_21",19.99
22,05/10/2023 00:05:14,"Customer_22, City_22",3859.79
23,17/10/2023 00:05:14,"Customer_23, City_23",119.99
24,17/10/2023 00:05:14,"Customer_24, City_24",9639.82
25,04/10/2023 00:05:14,"Customer_25, City_25",59.98
26,07/10/2023 00:05:14,"Customer_26, City_26",1199.97
27,24/10/2023 00:05:14,"Customer_27, City_27",5009.83
28,20/10/2023 00:05:14,"Customer_28, City_28",2569.86
29,04/10/2023 00:05:14,"Customer_29, City_29",6779.75
30,25/10/2023 00:05:14,"Customer_30, City_30",3719.96
